energy_link_1,time,energy_link_2,energy_link_3,energy_link_4,energy_link_5,energy_link_6
0.001292629506374462,129.58280000205465,0.03625953104665739,0.020167340640515122,0.043310602851724805,0.06020234108479277,0.00617300128332213
0.0012894795385006456,129.59280000205496,0.0366428543537291,0.02028190592314705,0.043384923618079156,0.060241520376952594,0.006177111262239787
0.0012847283027210981,129.6028000020553,0.036978137239231296,0.020373775919640062,0.04340589907751452,0.0602066256462425,0.006173626281223263
0.001283063323616827,129.61280000205562,0.037409990212171625,0.020520171368239633,0.043535147041903234,0.06032057989656506,0.006185406454206
0.0012787105629888701,129.62280000205595,0.03774883373145666,0.020622327643487804,0.04356968228409374,0.06030486504239791,0.0061838888115532675
0.0012747573799524842,129.63280000205629,0.03813193440546676,0.02074408661649513,0.043630048957007284,0.06032041694832121,0.006185583059314298
0.0012751889624209917,129.64280000205662,0.03856263039729737,0.020914219421466585,0.04381388125591313,0.06051705777702345,0.006205835730011947
0.0012694226295987458,129.65280000205695,0.03894472741755938,0.021029714874608103,0.04383278401916169,0.06046781205724419,0.0062008949416258174
0.0012668573108820791,129.66280000205728,0.039365589457703326,0.02118266879569777,0.04394360657585814,0.06055262602021139,0.006209693909883829
0.0012628814909596527,129.6728000020576,0.03974617670939877,0.021316359678178205,0.044008036712722,0.06057275331671036,0.006211860628982691
0.0012579328656731985,129.68280000205797,0.040117440859249884,0.021443852683987626,0.044047091923853136,0.06055493748461298,0.006210140201777315
0.0012540181567403143,129.69280000205828,0.04050213139812872,0.02158559798523473,0.04411700052557955,0.06058172165388609,0.006212991586626393
0.0012515100476836844,129.7028000020586,0.04091970965859091,0.02175035726555378,0.04423343229119515,0.06067368860530831,0.006222526801377036
0.0012474672120067211,129.71280000205894,0.04130854152120818,0.021898823584385486,0.04430421442897175,0.06070004030736044,0.006225336702874856
0.0012404620260731399,129.72280000205927,0.041616505713870204,0.02200430132448993,0.044276867883314974,0.06058949353018323,0.0062141097214708525
0.00123799056379774,129.7328000020596,0.04204483557698345,0.022182062241594618,0.04440169886289501,0.06069090693295403,0.006224617598914948
0.001232212919635945,129.74280000205994,0.042394751471177446,0.022315588247837026,0.04442077364242822,0.06064323913847298,0.0062198410995359995
0.0012313127868168743,129.75280000206027,0.0428526484093159,0.02251889435612458,0.04459637127249285,0.060816478490826956,0.006237713734337316
0.0012262854262893507,129.7628000020606,0.04325244183215669,0.02268070758603978,0.04465315407278422,0.06081672981976309,0.00623785709437117
0.0012206512801801659,129.77280000206093,0.04361756795726464,0.02282954729922468,0.044684440282614105,0.06078363641235195,0.006234579109955046
0.0012161832809245306,129.78280000206126,0.044007180653638255,0.02299678642657871,0.044753617368505826,0.060803960442151035,0.006236778298731051
0.0012131185833321263,129.7928000020616,0.04443083521850972,0.023187179616938752,0.0448698286583512,0.06089000172627303,0.006245716482062973
0.0012056310882635013,129.80280000206193,0.04473432235432176,0.023311661260047,0.0448380072691122,0.06076974631911983,0.006233500842649289
0.0012038279623631984,129.81280000206226,0.045172096540568044,0.023519530416244813,0.04499208379202093,0.06091063890578124,0.006248062004244242
0.0011964733576458645,129.8228000020626,0.0455168624882558,0.02366619857916771,0.0449798584720455,0.06081198260485486,0.006238068477103482
0.0011932491898901895,129.83280000206292,0.04596283788776414,0.023875779108166392,0.04510450228278249,0.06090497059305387,0.006247726157563214
0.0011896918646816907,129.84280000206326,0.0463772957536367,0.02407417350748683,0.04521118503435447,0.060975742471994894,0.006255102818432956
0.0011822360541825802,129.8528000020636,0.046684644133025865,0.024214155781190863,0.04518638008495669,0.060863493716186046,0.006243711743187044
0.0011803075966355363,129.86280000206392,0.04716738703272346,0.024452950706806066,0.04535885836588698,0.06102194526172117,0.006260084922815232
0.0011756440875887585,129.87280000206425,0.04756646490532208,0.024648190397842717,0.04543633575278027,0.061049257233065896,0.006263009245202855
0.0011702866749764896,129.88280000206458,0.047939337757906084,0.024832337572738675,0.04548864235071354,0.061042302855201055,0.006262419041053555
0.0011641331831060342,129.89280000206492,0.04830026062726926,0.02501073036262352,0.04551818506306707,0.061002107379613105,0.006258422122905511
0.001159136892961114,129.90280000206525,0.04869204718083675,0.02520958297553711,0.04558787180361794,0.0610175488700231,0.006260131232047246
0.0011092986950011897,129.91280000206558,0.04717455170488948,0.02442249025250667,0.0438834146444521,0.05866149359637063,0.006018530209778336
